requirement_id,requirement,status,specification_file,required_tests,evidence,notes
REQ-119,"Preview uses safe text nodes, configured geometry and an explicit non-pixel-identical DOCX warning.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"SEC-02, TPL-08, DOC-05",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-120,Fingerprint exact original pair bytes; resend pair and repeat validation on every document request.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,TPL-09,Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-121,Backend stores no template session/catalog/token and never fetches a visitor URL.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"ARCH-03, SEC-03, TPL-01",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-122,"Reject malformed/unsafe DOCX, ZIP bombs, XML entities, active content, scripts and general Jinja.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"SEC-06, SEC-07",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-123,Sandbox plus strict grammar/AST/primitive context/escaping and isolated bounded process are mandatory.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"SEC-06, TPL-12",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-124,Scrub private metadata and thumbnails; reject hidden/revision/active content rather than secretly choosing legal text.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"SEC-10, SEC-07",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-125,"Document template-specific errors, author recovery and preserve previous working template on failed replacement.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-04, TPL-06, UX-08",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-126,"New/replaced template requires data/assets/manifest changes only, not application code.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-13, E2E-04",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-127,Root and supplemental coding-agent prompts are standalone and cover the entire app/template/deployment task.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,PACK-06,Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-128,Provide seven numbered visible steps with simple layperson labels and no complex onboarding.,PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,UX-01,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-129,Implement every required idle/permission/recording/stopped/audio/transcribing/transcript/key/error/document/dirty state.,PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,UX-07,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-130,"Responsive desktop/mobile layout with readable buttons, touch targets and no unnecessary animations.",PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,UX-04,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-131,"Strong contrast, keyboard navigation, focus visibility and accessible labels/errors/live regions.",PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,"UX-02, UX-03, UX-04","Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-132,"Use honest progress indicators and plain errors, never technical dumps or fake percentages.",PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,"UX-07, SEC-08","Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-133,"Directly edit, copy, clear and download transcript as UTF-8 TXT.",PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,UX-05,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-134,"Explicit confirmation before clearing work, removing nonempty rows/audio or losing template fields.",PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,"UX-05, UX-08, REC-03","Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-135,Retry without losing prior transcript or completed fields.,PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,E2E-03,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-136,"Warn before dirty refresh/close/navigation, while explaining mobile warning limitations.",PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,LIFE-01,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-137,No automatic persistence or recovery files; any future explicit recovery export must be key-free and separately reviewed.,PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,LIFE-03,"Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-138,Separate provider invalid-key/quota/payment/outage failures from application login/billing.,PASS,09_USER_EXPERIENCE_AND_SCREEN_STATES.md,"PROV-03, UX-07","Seven-step Chromium workflow, mobile reflow and source inspection",Implemented and verified locally by the cited evidence.
REQ-139,"Provide anonymous health, transcription, template validation and DOCX endpoints only.",PASS,12_FASTAPI_CONTRACT.md,API-01,"API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-140,Validate provider/model/endpoint/file-type/size/duration where measurable using strict allowlists.,PASS,12_FASTAPI_CONTRACT.md,"API-02, API-03, REC-06, SEC-03","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-141,Normalize provider text/metadata and errors without raw payload or key echo.,PASS,12_FASTAPI_CONTRACT.md,"PROV-06, API-04, API-08","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-142,"No generic proxy, external file URL fetch, account/session/history route or arbitrary model.",PASS,12_FASTAPI_CONTRACT.md,"SEC-03, API-01","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-143,Apply bounded body/part/header/deadline/concurrency/rate guards without identity database.,PASS,12_FASTAPI_CONTRACT.md,"API-03, API-06, API-10","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-144,Use HTTPS and precise Origin/CORS behavior for separate frontend/backend hosts.,UNVERIFIED_EXTERNAL_ENVIRONMENT,12_FASTAPI_CONTRACT.md,"SEC-05, API-09","API/security tests, route audit, isolation and dependency audit",Exact CORS is locally tested; production HTTPS origins do not yet exist.
REQ-145,Reject extras/duplicates and sanitize Pydantic validation detail.,PASS,12_FASTAPI_CONTRACT.md,"API-02, SEC-08","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-146,Cancel/close upstream and parse/render work on disconnect; preserve honest provider billing uncertainty.,PASS,12_FASTAPI_CONTRACT.md,API-07,"API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-147,"Use request-owned child process for untrusted document work, not a durable worker/queue.",PASS,12_FASTAPI_CONTRACT.md,"TPL-12, ARCH-03","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-148,Disable production debug/access logs and test-only routes; no request/body capture.,PASS,12_FASTAPI_CONTRACT.md,"SEC-08, DEP-07, DEP-10","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-149,"Cleanup failure fails readiness and triggers controlled restart, not silent success.",PASS,12_FASTAPI_CONTRACT.md,"DOC-03, SEC-08","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-150,"Return generated DOCX binary with safe config filename, request ID and no-store, not base64/public URL.",PASS,12_FASTAPI_CONTRACT.md,"API-09, DOC-06","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-151,"Provide explicit threat model covering XSS, extensions/devtools, host compromise, logging, SSRF, active templates and anonymous abuse.",PASS,14_SECURITY_AND_PRIVACY.md,"PACK-06, SEC-01, SEC-03, SEC-07","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-152,Use strict CSP/self-hosted scripts/referrer/permissions policy and avoid third-party secret exfiltration paths.,PASS,14_SECURITY_AND_PRIVACY.md,SEC-12,"API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-153,Never treat CORS as authentication or sufficient prevention of non-browser abuse.,PASS,14_SECURITY_AND_PRIVACY.md,"SEC-05, SEC-09","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-154,Document provider/browser/host retention boundaries and no legal privilege/compliance/forensic erase guarantee.,PASS,14_SECURITY_AND_PRIVACY.md,"PACK-03, UX-09","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-155,"No personal audit history, IP/key fingerprint tracking or request-body logging.",PASS,14_SECURITY_AND_PRIVACY.md,"SEC-01, LIFE-03","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-156,"Do not put a key in subprocess args/environment, test artifacts, screenshots, HAR or real-key fixtures.",PASS,14_SECURITY_AND_PRIVACY.md,"SEC-01, SEC-11","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-157,Have payload-free incident response and static notices without account/contact database.,PASS,14_SECURITY_AND_PRIVACY.md,"SEC-08, DEP-10","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-158,Reject unsafe files/resources even though the app is anonymous and free.,PASS,14_SECURITY_AND_PRIVACY.md,"SEC-06, SEC-07, SEC-09","API/security tests, route audit, isolation and dependency audit",Implemented and verified locally by the cited evidence.
REQ-159,"Evaluate Cloudflare, Vercel, Render, Koyeb, Netlify, Google Cloud and Oracle with current official evidence.",PASS,15_ZERO_COST_DEPLOYMENT.md,"PACK-03, DEP-01","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-160,"Verify selected-host Free tier, Python support, card state, sleep, timeout, body and bandwidth/request limitations.",UNVERIFIED_EXTERNAL_ENVIRONMENT,15_ZERO_COST_DEPLOYMENT.md,"DEP-01, DEP-02, DEP-04, DEP-06","Deployment files, official-source refresh and final verification audit",Published host limits were checked; account and deployed runtime behavior remain unmeasured.
REQ-161,"Document HTTPS platform URLs, GitHub deployment, auto redeployment and non-secret environment configuration.",PASS,15_ZERO_COST_DEPLOYMENT.md,DEP-03,"Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-162,Supply .env.example with no real or owner inference credentials in implementation.,PASS,15_ZERO_COST_DEPLOYMENT.md,"ARCH-06, SEC-01","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-163,"Measure installed dependencies, temp handling, child memory/CPU and cold start on selected host.",UNVERIFIED_EXTERNAL_ENVIRONMENT,15_ZERO_COST_DEPLOYMENT.md,DEP-05,"Deployment files, official-source refresh and final verification audit","Linux host memory, CPU, temp and cold-start measurements require a deployed service."
REQ-164,"Run unit, integration, security, E2E and real-browser accessibility tests and inspect their actual output.",UNVERIFIED_EXTERNAL_ENVIRONMENT,15_ZERO_COST_DEPLOYMENT.md,"E2E-01, E2E-02, DEP-08","Deployment files, official-source refresh and final verification audit",Automated unit/integration/security and Chromium E2E ran; physical-device and full assistive-tech testing did not.
REQ-165,Provider mocks never spend API quota and unexpected outbound requests fail tests.,PASS,15_ZERO_COST_DEPLOYMENT.md,"PROV-01, PROV-02","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-166,Inspect deployed browser console/network and platform/app logs with secret canaries.,UNVERIFIED_EXTERNAL_ENVIRONMENT,15_ZERO_COST_DEPLOYMENT.md,DEP-07,"Deployment files, official-source refresh and final verification audit",No deployed browser network capture or platform logs exist.
REQ-167,Test real provider only with a key explicitly supplied for that purpose; never invent success.,PASS,15_ZERO_COST_DEPLOYMENT.md,PROV-08,"Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-168,Deploy and test public URLs after local processes stop; record actual evidence.,BLOCKED,15_ZERO_COST_DEPLOYMENT.md,"DEP-09, ARCH-04","Deployment files, official-source refresh and final verification audit",No usable Git remote and no confirmed deployment workspace/production origins were available.
REQ-169,Test supported desktop/mobile browsers and report unsupported or unavailable device tests honestly.,UNVERIFIED_EXTERNAL_ENVIRONMENT,15_ZERO_COST_DEPLOYMENT.md,DEP-08,"Deployment files, official-source refresh and final verification audit",Headless Chromium ran; physical desktop/mobile browser and microphone matrix did not.
REQ-170,"Produce final deployment/verification report, rollback instructions and remaining unverified requirements.",PASS,15_ZERO_COST_DEPLOYMENT.md,"DEP-10, PACK-06","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-171,Every material provider/model/endpoint/free/pricing/quota/CORS/browser/hosting claim gets a final verdict/confidence.,PASS,03_FACT_CHECK_REPORT.md,PACK-03,"Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-172,Record official source URL/publisher/access date/relevant section and update/deprecation context.,PASS,03_FACT_CHECK_REPORT.md,PACK-03,"Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-173,Search for contrary or limiting evidence and bound conflicts rather than hiding them.,PASS,03_FACT_CHECK_REPORT.md,"PACK-03, DEP-01","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-174,"No material claim remains NOT_CHECKED; unsupported/unverifiable is an honest adjudication, not a verified capability.",PASS,03_FACT_CHECK_REPORT.md,PACK-03,"Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-175,Coding agent reads every Markdown and research CSV before implementation and re-verifies volatile facts.,PASS,03_FACT_CHECK_REPORT.md,"PACK-06, DEP-01","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-176,"Coding agent autonomously builds/tests/deploys when authorized tools exist, but does not invent missing access or successful results.",PASS,03_FACT_CHECK_REPORT.md,"PACK-06, DEP-09","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-177,"Trace every requirement to spec, component, verification, test and status.",PASS,03_FACT_CHECK_REPORT.md,PACK-04,"Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-178,"Read every generated file fully, check cross-file consistency and validate ZIP CRC/extraction before handoff.",PASS,03_FACT_CHECK_REPORT.md,"PACK-01, PACK-05","Deployment files, official-source refresh and final verification audit",Implemented and verified locally by the cited evidence.
REQ-179,"EDGE-001: Web Speech API unavailable - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"WEB-01, UX-10",Failure-mode ledger EDGE-001,Implemented and verified locally by the cited evidence.
REQ-180,"EDGE-002: Browser recognizer automatically stops - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,WEB-04,Failure-mode ledger EDGE-002,Implemented and verified locally by the cited evidence.
REQ-181,"EDGE-003: Microphone permission denied - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-01, WEB-04",Failure-mode ledger EDGE-003,Implemented and verified locally by the cited evidence.
REQ-182,"EDGE-004: No microphone - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,REC-01,Failure-mode ledger EDGE-004,Implemented and verified locally by the cited evidence.
REQ-183,"EDGE-005: Recording contains silence - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-08, PROV-06",Failure-mode ledger EDGE-005,Implemented and verified locally by the cited evidence.
REQ-184,"EDGE-006: Background noise - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-08, UX-09",Failure-mode ledger EDGE-006,Implemented and verified locally by the cited evidence.
REQ-185,"EDGE-007: Unsupported audio format - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,REC-05,Failure-mode ledger EDGE-007,Implemented and verified locally by the cited evidence.
REQ-186,"EDGE-008: Empty uploaded file - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-05, API-03",Failure-mode ledger EDGE-008,Implemented and verified locally by the cited evidence.
REQ-187,"EDGE-009: Oversized audio file - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"API-03, REC-04",Failure-mode ledger EDGE-009,Implemented and verified locally by the cited evidence.
REQ-188,"EDGE-010: Recording interrupted by phone call - implement its specified detection, message, backend behavior and recovery.",UNVERIFIED_EXTERNAL_ENVIRONMENT,16_FAILURE_MODES_AND_EDGE_CASES.md,REC-07,Failure-mode ledger EDGE-010,Phone-call interruption requires a physical mobile device.
REQ-189,"EDGE-011: Browser tab moved to background - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"WEB-07, REC-07",Failure-mode ledger EDGE-011,Implemented and verified locally by the cited evidence.
REQ-190,"EDGE-012: Network disconnect - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-09, PROV-05, API-07",Failure-mode ledger EDGE-012,Implemented and verified locally by the cited evidence.
REQ-191,"EDGE-013: Slow upload - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"API-06, REC-09",Failure-mode ledger EDGE-013,Implemented and verified locally by the cited evidence.
REQ-192,"EDGE-014: Duplicate transcription click - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-09, API-10",Failure-mode ledger EDGE-014,Implemented and verified locally by the cited evidence.
REQ-193,"EDGE-015: User cancels request - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"API-07, SEC-11",Failure-mode ledger EDGE-015,Implemented and verified locally by the cited evidence.
REQ-194,"EDGE-016: Invalid API key - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"PROV-03, API-05",Failure-mode ledger EDGE-016,Implemented and verified locally by the cited evidence.
REQ-195,"EDGE-017: Expired or revoked key - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"PROV-03, SEC-11",Failure-mode ledger EDGE-017,Implemented and verified locally by the cited evidence.
REQ-196,"EDGE-018: Provider quota reached - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"PROV-03, PROV-04",Failure-mode ledger EDGE-018,Implemented and verified locally by the cited evidence.
REQ-197,"EDGE-019: Provider rate limit - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,PROV-04,Failure-mode ledger EDGE-019,Implemented and verified locally by the cited evidence.
REQ-198,"EDGE-020: Provider timeout - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"PROV-05, API-06",Failure-mode ledger EDGE-020,Implemented and verified locally by the cited evidence.
REQ-199,"EDGE-021: Provider outage - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,PROV-05,Failure-mode ledger EDGE-021,Implemented and verified locally by the cited evidence.
REQ-200,"EDGE-022: Provider changes model ID - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"PROV-05, DEP-01",Failure-mode ledger EDGE-022,Implemented and verified locally by the cited evidence.
REQ-201,"EDGE-023: Malformed provider response - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,PROV-06,Failure-mode ledger EDGE-023,Implemented and verified locally by the cited evidence.
REQ-202,"EDGE-024: Transcript empty - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"PROV-06, REC-08",Failure-mode ledger EDGE-024,Implemented and verified locally by the cited evidence.
REQ-203,"EDGE-025: Transcript unexpectedly translated - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,PROV-07,Failure-mode ledger EDGE-025,Implemented and verified locally by the cited evidence.
REQ-204,"EDGE-026: Refresh with unsaved work - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,LIFE-01,Failure-mode ledger EDGE-026,Implemented and verified locally by the cited evidence.
REQ-205,"EDGE-027: Malicious HTML pasted - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,SEC-02,Failure-mode ledger EDGE-027,Implemented and verified locally by the cited evidence.
REQ-206,"EDGE-028: Template placeholder missing - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,TPL-06,Failure-mode ledger EDGE-028,Implemented and verified locally by the cited evidence.
REQ-207,"EDGE-029: Malformed DOCX template - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"TPL-04, SEC-07",Failure-mode ledger EDGE-029,Implemented and verified locally by the cited evidence.
REQ-208,"EDGE-030: Document generation fails - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,DOC-03,Failure-mode ledger EDGE-030,Implemented and verified locally by the cited evidence.
REQ-209,"EDGE-031: PDF conversion unavailable - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,DOC-04,Failure-mode ledger EDGE-031,Implemented and verified locally by the cited evidence.
REQ-210,"EDGE-032: Temporary-file deletion fails - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"DOC-03, SEC-08",Failure-mode ledger EDGE-032,Implemented and verified locally by the cited evidence.
REQ-211,"EDGE-033: Sensitive key appears in exception - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"SEC-01, SEC-08",Failure-mode ledger EDGE-033,Implemented and verified locally by the cited evidence.
REQ-212,"EDGE-034: Third party attempts open proxy - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,SEC-03,Failure-mode ledger EDGE-034,Implemented and verified locally by the cited evidence.
REQ-213,"EDGE-035: Recognition constructor present but service fails - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,WEB-02,Failure-mode ledger EDGE-035,Implemented and verified locally by the cited evidence.
REQ-214,"EDGE-036: Permission prompt ignored or late grant after Cancel - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,REC-01,Failure-mode ledger EDGE-036,Implemented and verified locally by the cited evidence.
REQ-215,"EDGE-037: No compatible recording MIME - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,REC-02,Failure-mode ledger EDGE-037,Implemented and verified locally by the cited evidence.
REQ-216,"EDGE-038: Last chunk exceeds recording limit - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,REC-04,Failure-mode ledger EDGE-038,Implemented and verified locally by the cited evidence.
REQ-217,"EDGE-039: Audio duration unknown or forged - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"REC-06, API-08",Failure-mode ledger EDGE-039,Implemented and verified locally by the cited evidence.
REQ-218,"EDGE-040: Body sent without Content-Length - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"API-03, API-06",Failure-mode ledger EDGE-040,Implemented and verified locally by the cited evidence.
REQ-219,"EDGE-041: Template DOCX chosen without JSON - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,TPL-01,Failure-mode ledger EDGE-041,Implemented and verified locally by the cited evidence.
REQ-220,"EDGE-042: Invalid template JSON or unknown schema version - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"TPL-02, TPL-03",Failure-mode ledger EDGE-042,Implemented and verified locally by the cited evidence.
REQ-221,"EDGE-043: ZIP bomb or active Word feature - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,SEC-07,Failure-mode ledger EDGE-043,Implemented and verified locally by the cited evidence.
REQ-222,"EDGE-044: Forbidden Jinja expression or split tag - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"SEC-06, TPL-05",Failure-mode ledger EDGE-044,Implemented and verified locally by the cited evidence.
REQ-223,"EDGE-045: Repeat row limit or invalid typed value - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"TPL-10, TPL-14",Failure-mode ledger EDGE-045,Implemented and verified locally by the cited evidence.
REQ-224,"EDGE-046: Unsafe output filename - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,TPL-11,Failure-mode ledger EDGE-046,Implemented and verified locally by the cited evidence.
REQ-225,"EDGE-047: Template replaced while generation in flight - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"TPL-09, UX-08",Failure-mode ledger EDGE-047,Implemented and verified locally by the cited evidence.
REQ-226,"EDGE-048: Backend cold start or temporary suspension - implement its specified detection, message, backend behavior and recovery.",UNVERIFIED_EXTERNAL_ENVIRONMENT,16_FAILURE_MODES_AND_EDGE_CASES.md,"DEP-06, UX-10",Failure-mode ledger EDGE-048,Cold-start behavior requires a deployed suspended service.
REQ-227,"EDGE-049: Hosting signup demands payment or paid default - implement its specified detection, message, backend behavior and recovery.",UNVERIFIED_EXTERNAL_ENVIRONMENT,16_FAILURE_MODES_AND_EDGE_CASES.md,"DEP-02, ARCH-06",Failure-mode ledger EDGE-049,Payment/card state requires the owner's deployment account flow.
REQ-228,"EDGE-050: Back-forward cache restores a page - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"LIFE-02, SEC-11",Failure-mode ledger EDGE-050,Implemented and verified locally by the cited evidence.
REQ-229,"EDGE-051: Wrong production CORS origin - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,"SEC-05, DEP-03",Failure-mode ledger EDGE-051,Implemented and verified locally by the cited evidence.
REQ-230,"EDGE-052: Cross-request credential contamination attempt - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,SEC-04,Failure-mode ledger EDGE-052,Implemented and verified locally by the cited evidence.
REQ-231,"EDGE-053: Free bandwidth or service-initiated traffic suspension - implement its specified detection, message, backend behavior and recovery.",UNVERIFIED_EXTERNAL_ENVIRONMENT,16_FAILURE_MODES_AND_EDGE_CASES.md,"DEP-06, ARCH-06",Failure-mode ledger EDGE-053,Bandwidth suspension behavior requires a deployed account and quota state.
REQ-232,"EDGE-054: Print canceled or PDF destination missing - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,DOC-04,Failure-mode ledger EDGE-054,Implemented and verified locally by the cited evidence.
REQ-233,"EDGE-055: Download blocked/canceled - implement its specified detection, message, backend behavior and recovery.",PASS,16_FAILURE_MODES_AND_EDGE_CASES.md,DOC-06,Failure-mode ledger EDGE-055,Implemented and verified locally by the cited evidence.
